ID,prediction
80_3,2
121_6,1
124_3,0
144_4,0
35_10,2
103_5,2
78_3,0
71_0,2
69_1,2
138_8,2
127_1,2
76_3,0
135_9,2
4_3,2
135_4,0
126_1,2
148_10,2
140_1,0
144_6,0
39_3,2
153_12,0
2_0,0
30_3,2
23_2,0
136_3,0
137_12,0
161_3,2
115_6,1
7_4,2
16_1,0
139_13,0
91_2,2
50_2,1
161_4,2
28_3,0
22_4,0
138_12,0
136_1,2
13_2,2
141_3,0
145_1,2
31_1,2
138_0,0
112_0,1
110_6,1
68_2,2
95_6,2
72_3,2
70_4,2
99_0,1
48_3,1
118_7,0
73_5,2
75_4,2
129_5,2
114_1,2
107_1,0
160_5,2
81_3,2
37_2,2
75_0,2
86_0,1
70_3,2
149_5,0
40_2,0
100_6,2
44_2,0
78_1,0
35_8,2
124_2,0
141_4,0
5_6,2
77_0,2
122_0,2
118_0,0
100_5,1
160_1,1
57_7,0
8_3,1
119_0,0
112_7,2
85_7,2
114_0,1
156_3,1
120_1,0
10_0,1
139_3,0
117_2,0
152_10,0
29_4,2
35_3,0
121_0,0
93_7,1
40_0,0
138_13,0
136_7,1
137_9,0
71_4,0
108_3,2
65_3,0
110_5,1
113_2,2
85_5,2
81_7,0
86_2,2
101_1,1
44_0,1
147_4,0
17_2,0
140_14,0
60_8,0
114_5,1
82_1,2
147_0,0
142_10,0
117_1,0
48_1,1
119_13,2
125_3,2
139_14,2
88_0,2
146_17,2
160_2,2
21_3,0
66_3,2
65_4,0
68_7,1
56_3,0
142_1,2
152_5,0
16_0,0
44_3,2
35_7,1
6_5,2
122_2,2
130_1,0
61_4,0
37_5,1
45_5,2
74_2,0
54_2,1
117_3,0
147_3,0
150_7,0
24_4,2
79_8,0
82_0,2
82_6,2
56_6,0
150_9,2
79_1,2
42_0,1
10_1,1
98_5,1
50_3,1
133_8,2
28_4,2
133_3,0
142_15,2
111_4,1
6_1,1
111_1,1
125_4,2
121_10,2
51_0,2
94_4,1
144_13,0
147_6,2
78_7,2
41_2,0
56_2,0
121_2,0
146_13,2
142_12,0
149_7,0
155_1,0
115_5,2
120_11,2
85_6,2
147_9,0
64_4,2
120_8,2
88_3,2
59_4,2
89_4,2
77_1,2
30_4,0
68_6,2
114_3,1
150_5,2
43_0,1
144_5,0
80_6,0
53_1,2
121_7,1
116_1,2
154_11,0
110_4,1
103_4,2
54_3,2
95_5,1
154_9,0
132_3,0
53_6,1
95_4,2
144_11,0
149_2,0
159_4,1
156_1,1
87_4,1
96_6,2
147_8,0
87_0,1
129_7,1
67_2,2
90_5,2
55_3,2
136_8,1
141_7,2
140_5,0
125_1,2
120_10,2
6_6,2
47_0,2
54_0,2
121_4,0
34_0,2
124_1,0
4_4,2
50_0,1
123_5,0
92_1,1
118_2,0
134_7,0
118_1,0
68_5,2
19_9,0
108_0,0
32_4,0
149_3,2
104_2,2
132_5,1
134_6,1
18_4,0
71_1,2
147_5,0
53_3,1
123_2,1
135_8,1
